Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
0,-0.488289,-0.488289,0.000000,-0.009522,0.006592,1.004532
1,-0.549325,-0.488289,0.000000,0.005982,0.007813,1.001114
2,-0.305180,-0.488289,-0.183108,-0.003540,0.005982,0.994278
3,-0.671397,-0.610361,-0.122072,-0.005737,0.005737,1.001114
4,-0.427253,-0.549325,-0.183108,0.001221,0.008179,0.994522
5,-0.854505,-0.488289,0.000000,-0.011841,0.007202,0.996841
6,-0.671397,-0.366217,0.000000,-0.001709,0.002075,1.007340
7,-0.793469,-0.305180,0.000000,-0.006104,0.008179,1.001602
8,-0.732433,-0.244144,0.000000,-0.002686,0.007080,1.004410
9,-0.732433,-0.061036,0.000000,-0.000488,0.004273,1.006607
10,-0.305180,-0.061036,-0.122072,-0.006104,0.008545,1.001114
11,-0.488289,-0.183108,0.061036,-0.009522,-0.001709,1.003922
12,0.061036,0.061036,-0.122072,-0.011963,0.006348,0.995010
13,-0.488289,-0.366217,0.000000,-0.008179,0.004761,0.990005
14,-0.122072,-0.366217,-0.183108,-0.007568,0.005615,0.999161
15,-0.427253,-0.549325,0.000000,-0.000855,0.010620,0.994034
16,-0.732433,-0.549325,-0.183108,-0.004395,0.006958,1.001846
17,-0.549325,-0.610361,0.000000,0.002441,0.009888,0.992691
18,-0.854505,-0.488289,-0.122072,-0.000366,0.010864,0.997086
19,-0.732433,-0.427253,0.000000,-0.006592,0.005982,1.003189
20,-0.732433,-0.427253,0.000000,-0.005493,0.005371,0.996109
21,-0.610361,-0.305180,0.000000,-0.010254,0.002930,1.004288
22,-0.671397,-0.305180,0.000000,-0.003906,0.000244,1.002579
23,-0.427253,-0.183108,0.061036,0.000610,0.004273,1.003189
24,-0.610361,-0.061036,-0.122072,-0.008545,0.000122,0.998795
25,-0.366217,-0.183108,0.000000,-0.005982,0.007813,1.003799
26,-0.244144,-0.183108,0.000000,-0.002930,0.004639,1.003555
27,-0.366217,-0.427253,-0.122072,-0.006470,0.008545,0.994888
28,-0.427253,-0.427253,-0.122072,-0.001343,0.003540,0.995987
29,-0.183108,-0.427253,-0.183108,-0.003174,0.011353,0.996231
30,-0.549325,-0.427253,-0.183108,-0.007080,0.003174,0.998306
31,-0.427253,-0.427253,0.000000,-0.005615,0.000610,0.998917
32,-0.122072,-0.427253,-0.122072,-0.004395,0.008911,0.990982
33,-0.549325,-0.244144,0.000000,-0.001465,0.004273,0.994766
34,-0.305180,-0.305180,0.000000,-0.002564,0.005982,1.000381
35,-0.793469,-0.366217,0.000000,-0.000732,0.008667,0.993057
36,-0.305180,-0.305180,0.000000,-0.005737,0.002441,0.996353
37,-0.854505,-0.305180,0.000000,-0.005249,0.001587,1.006119
38,-0.244144,-0.305180,0.000000,-0.000732,0.006836,1.003189
39,-0.488289,-0.366217,-0.122072,-0.006226,0.006104,1.002335
40,-0.061036,-0.244144,-0.122072,-0.007813,0.005859,0.996109
41,-0.183108,-0.305180,0.000000,-0.005371,0.006714,0.991104
42,-0.061036,-0.244144,0.000000,-0.002930,0.003662,1.006729
43,-0.061036,-0.305180,0.000000,-0.008423,0.006592,1.000259
44,0.244144,-0.305180,0.000000,-0.008179,0.013184,0.997940
45,-0.061036,-0.183108,0.000000,-0.005615,0.005982,0.997086
46,0.305180,-0.122072,0.000000,-0.009277,0.007813,0.994278
47,-0.061036,-0.122072,0.061036,-0.008301,0.003174,1.003677
48,0.244144,-0.183108,0.000000,-0.010254,0.007691,0.998917
49,-0.183108,-0.305180,0.000000,-0.002441,0.004761,0.994400
50,-0.061036,-0.244144,0.000000,-0.004150,0.006104,0.994278
51,0.000000,-0.305180,0.000000,-0.003906,0.009033,1.000870
52,-0.061036,-0.305180,0.000000,-0.006714,0.005371,0.987320
53,-0.122072,-0.610361,0.000000,-0.005371,-0.000977,1.008682
54,0.610361,-0.610361,0.061036,0.003906,0.004639,1.004532
55,1.037613,-0.183108,0.000000,-0.007691,0.000610,1.014786
56,1.586938,-0.244144,0.122072,-0.001831,-0.003662,1.010880
57,3.234913,0.183108,0.061036,-0.012207,0.006104,1.002823
58,3.356985,-0.427253,0.061036,0.011109,0.010376,1.013321
59,2.685588,0.244144,0.000000,-0.005737,0.004761,1.029313
60,5.676356,0.122072,0.122072,0.013794,0.019043,1.003189
