Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
2,-0.549325,-0.244144,-0.122072,-0.001709,-0.005005,0.9941559999999999
4,-0.244144,-0.183108,-0.122072,-0.000488,-0.001953,1.000259
6,-0.122072,-0.48828900000000003,0.0,-0.001099,-0.0028079999999999997,0.999893
8,0.0,-0.427253,-0.122072,-0.00061,0.002686,1.000748
10,0.122072,-0.183108,0.0,-0.000366,0.001465,0.9953770000000001
12,-1.037613,-0.6103609999999999,-0.122072,-0.001221,0.000488,0.9956209999999999
14,-1.09865,-0.549325,-0.183108,-0.000244,0.0021969999999999997,0.992081
16,-0.976577,-0.549325,-0.122072,-0.000732,-0.004639,0.9986719999999999
18,-0.793469,-0.427253,0.0,-0.002441,-0.001953,1.004532
20,-0.48828900000000003,-0.427253,0.0,0.0,-0.003296,0.9990389999999999
22,-0.732433,-0.549325,0.0,0.003418,-0.00415,1.0000149999999999
24,-0.854505,-0.427253,-0.122072,0.001709,0.002441,1.001846
26,-0.732433,-0.061036,0.0,-0.004028,0.0,1.0000149999999999
28,-0.427253,0.061036,0.0,0.002686,-0.001709,1.001724
30,-0.244144,0.0,0.061036,0.005737,-0.0021969999999999997,1.002945
32,-0.061036,0.0,0.122072,-0.001221,0.00061,1.0042879999999998
34,0.0,-0.122072,0.061036,-0.0031739999999999997,0.000366,0.9950100000000001
36,-0.183108,-0.549325,0.0,-0.0063479999999999995,-0.001221,0.9922030000000001
38,-0.549325,-0.976577,0.0,-0.001831,-0.001343,0.9941559999999999
40,-0.976577,-1.342794,0.0,0.000244,0.00061,0.999527
42,-1.342794,-1.281758,0.0,0.002075,-0.001343,0.997452
44,-1.159686,-0.854505,0.061036,-0.001343,-0.0070799999999999995,1.013321
46,-1.281758,-0.732433,-0.122072,0.001709,-0.007935,0.9909819999999999
48,-0.549325,-0.732433,0.0,0.005615,0.0015869999999999999,0.9980620000000001
50,-0.061036,-0.732433,-0.122072,-0.003662,0.005615,0.9952540000000001
52,0.122072,-0.9155409999999999,-0.244144,0.013428,0.00061,0.989395
54,1.281758,-0.671397,0.0,0.020386,0.011231,0.9911040000000001
56,0.9155409999999999,-0.48828900000000003,0.0,0.012695999999999999,0.000732,1.002213
58,0.183108,0.122072,0.0,0.006958,-0.005615,1.0085600000000001
60,0.0,0.183108,0.0,-0.001465,0.000244,1.003922
62,0.366217,0.244144,0.0,-0.0063479999999999995,0.00415,1.0000149999999999
64,-0.366217,-0.366217,-0.183108,0.003662,-0.009276999999999999,1.005142
66,-0.122072,-0.30518,0.0,-0.002075,-0.006104,1.0000149999999999
68,0.061036,-0.366217,0.0,-0.0008550000000000001,-0.0021969999999999997,1.003311
70,-0.244144,-0.6103609999999999,0.0,-0.003052,0.002686,0.9906159999999999
72,-0.427253,-0.671397,0.0,0.004639,-0.002686,1.013199
74,-0.30518,-0.6103609999999999,0.122072,-0.0023190000000000003,-0.005371,1.0047760000000001
76,0.0,-0.6103609999999999,0.122072,-0.005005,-0.00647,0.9990389999999999
78,0.671397,-0.9155409999999999,0.122072,0.000977,-0.01001,1.0095370000000001
