Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
0,0.000000,-0.122072,0.000000,0.010986,-0.020264,1.013321
1,-0.244144,-0.061036,0.000000,0.007080,-0.021241,0.995621
2,0.061036,0.061036,0.000000,0.008423,-0.011475,1.006485
3,-0.183108,-0.061036,-0.122072,0.011231,-0.019898,1.007218
4,0.244144,0.000000,-0.244144,0.006226,-0.015991,1.000504
5,0.183108,-0.122072,-0.305180,0.008179,-0.011841,0.997940
6,0.000000,0.000000,-0.183108,0.004883,-0.022461,1.000259
7,0.610361,-0.122072,-0.244144,0.011353,-0.014160,0.998550
8,0.061036,-0.305180,-0.305180,0.002686,-0.015381,0.997696
9,0.122072,-0.244144,-0.366217,0.006104,-0.018921,1.006607
10,0.183108,-0.305180,-0.305180,0.006958,-0.017090,1.000259
11,-0.061036,-0.244144,-0.244144,0.005737,-0.021729,1.008804
12,0.244144,0.000000,-0.305180,0.006714,-0.017456,0.995987
13,-0.122072,-0.061036,-0.183108,0.005493,-0.021729,0.996719
14,0.366217,0.000000,-0.183108,0.004761,-0.016724,1.000992
15,-0.122072,-0.244144,-0.183108,0.002808,-0.015869,1.007462
16,0.305180,-0.122072,-0.183108,0.008911,-0.014771,0.995010
17,-0.061036,-0.183108,-0.244144,0.003052,-0.019165,1.003555
18,0.183108,-0.183108,-0.183108,0.005859,-0.011841,1.011002
19,-0.366217,-0.061036,-0.244144,0.002686,-0.014649,0.997086
20,-0.305180,-0.061036,0.000000,0.003784,-0.016846,1.001602
21,0.000000,0.000000,-0.183108,0.005982,-0.010620,1.000626
22,-0.549325,-0.305180,-0.183108,0.004028,-0.018677,0.995254
23,-0.488289,-0.305180,-0.183108,0.001099,-0.018189,1.002335
24,-0.915541,-0.305180,-0.183108,0.005982,-0.015869,1.002457
25,-0.915541,-0.183108,-0.244144,0.007935,-0.022583,0.998306
26,-0.183108,0.000000,-0.122072,0.006958,-0.018311,0.994888
27,-0.427253,0.244144,0.000000,0.002808,-0.022461,1.002213
28,0.000000,0.305180,0.000000,0.005371,-0.018311,1.007462
29,0.244144,0.366217,0.000000,0.007813,-0.013794,1.002945
30,0.122072,0.183108,-0.122072,0.004761,-0.015869,0.997818
31,0.366217,0.183108,-0.122072,0.001587,-0.010010,0.997086
32,-0.061036,-0.122072,-0.244144,0.003784,-0.011475,0.995499
33,-0.366217,-0.244144,-0.244144,0.002930,-0.019043,0.997452
34,-0.183108,-0.488289,-0.122072,0.005982,-0.012329,0.999405
35,-0.122072,-0.244144,-0.305180,0.000122,-0.017456,0.992203
36,-1.098650,-0.610361,-0.183108,0.006348,-0.018677,1.003433
37,-0.122072,-0.183108,-0.183108,0.001587,-0.016358,0.992935
38,-0.671397,-0.366217,-0.122072,0.005982,-0.010010,1.001724
39,-0.976577,-0.305180,-0.122072,0.000855,-0.023926,1.004044
40,0.061036,0.000000,-0.183108,0.009766,-0.015259,1.009171
41,-0.366217,-0.061036,-0.122072,-0.000855,-0.013916,0.999039
42,-0.183108,0.000000,-0.183108,0.014527,-0.024292,1.003555
43,0.671397,0.183108,-0.183108,0.003662,-0.016480,1.005997
44,0.000000,0.061036,-0.183108,0.008301,-0.015747,1.006363
45,0.732433,0.061036,-0.183108,0.002197,-0.016968,1.002823
46,0.366217,0.000000,0.000000,0.004761,-0.014527,0.997452
47,0.549325,0.061036,0.000000,0.003174,-0.014282,0.995987
48,0.183108,0.000000,-0.122072,0.006592,-0.014282,1.000504
49,0.122072,-0.122072,0.000000,0.006226,-0.013550,1.002090
50,0.427253,0.122072,-0.183108,0.004883,-0.013916,0.993668
51,-1.037613,-0.244144,0.000000,0.006348,-0.021363,1.003067
52,0.183108,0.244144,-0.122072,0.004273,-0.015015,0.998428
53,-0.671397,-0.061036,0.000000,0.004761,-0.015015,1.007706
54,0.061036,0.122072,-0.122072,0.003296,-0.020142,1.004410
55,0.122072,0.183108,-0.122072,0.007446,-0.018555,1.004898
56,0.305180,0.244144,0.000000,-0.000122,-0.021241,0.994400
57,0.305180,0.122072,-0.183108,0.002319,-0.012573,0.990860
58,0.732433,0.366217,-0.183108,0.000977,-0.016114,0.997696
59,0.366217,0.000000,-0.122072,0.012696,-0.015015,0.999161
60,0.488289,0.488289,-0.244144,-0.003296,-0.014771,0.995010
61,0.488289,0.000000,0.000000,-0.004028,-0.018433,0.996719
62,0.366217,0.183108,-0.244144,0.010376,-0.016358,0.995743
63,-0.183108,-0.183108,0.000000,0.003052,-0.020020,1.002213
64,0.427253,0.061036,-0.183108,0.000244,-0.011475,0.995621
65,-0.610361,-0.427253,0.000000,0.007324,-0.012207,1.005509
66,-0.427253,-0.244144,0.000000,0.001099,-0.019898,1.004044
67,-0.366217,-0.366217,-0.122072,0.005493,-0.014038,1.001724
68,0.000000,0.000000,-0.244144,0.002808,-0.018921,1.002945
