Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
0,-0.183108,-0.427253,0.244144,0.142361,-0.157913,9.870732
1,-0.183108,-0.427253,0.244144,0.142361,-0.157913,9.870732
2,-0.183108,-0.427253,0.305180,0.141164,-0.156716,9.875517
3,-0.183108,-0.427253,0.305180,0.141164,-0.156716,9.875517
4,-0.122072,-0.427253,0.305180,0.153127,-0.162698,9.849198
5,-0.122072,-0.427253,0.305180,0.153127,-0.162698,9.849198
6,-0.122072,-0.427253,0.366217,0.165090,-0.161501,9.839628
7,-0.122072,-0.427253,0.366217,0.165090,-0.161501,9.839628
8,-0.183108,-0.427253,0.366217,0.165090,-0.138772,9.864750
9,-0.183108,-0.427253,0.366217,0.165090,-0.138772,9.864750
10,0.366217,0.305180,0.305180,0.156716,-0.149538,9.846806
11,0.366217,0.305180,0.305180,0.136379,-0.187820,9.862358
12,0.366217,0.305180,0.305180,0.136379,-0.187820,9.862358
13,0.427253,0.183108,0.366217,0.136379,-0.159109,9.885087
14,0.427253,0.183108,0.366217,0.136379,-0.159109,9.885087
15,0.427253,0.061036,0.366217,0.149538,-0.155520,9.839628
16,0.427253,0.061036,0.366217,0.149538,-0.155520,9.839628
17,0.366217,0.122072,0.366217,0.178250,-0.145949,9.864750
18,0.366217,0.122072,0.366217,0.178250,-0.145949,9.864750
19,0.305180,0.122072,0.366217,0.177053,-0.163894,9.857572
20,0.061036,-0.183108,0.183108,0.153127,-0.144753,9.845609
21,0.061036,-0.122072,0.183108,0.154324,-0.143557,9.859965
22,0.061036,-0.122072,0.183108,0.154324,-0.143557,9.859965
23,0.000000,-0.122072,0.183108,0.136379,-0.159109,9.850394
24,0.000000,-0.061036,0.183108,0.163894,-0.172268,9.836039
25,0.000000,-0.061036,0.244144,0.171072,-0.173465,9.836039
26,0.000000,-0.061036,0.244144,0.171072,-0.173465,9.836039
27,0.000000,0.000000,0.244144,0.151931,-0.162698,9.852787
28,0.000000,0.000000,0.244144,0.151931,-0.162698,9.852787
29,0.000000,0.061036,0.366217,0.148342,-0.166287,9.844413
30,0.000000,-0.122072,0.244144,0.154324,-0.151931,9.836039
31,0.000000,-0.122072,0.244144,0.154324,-0.151931,9.836039
32,0.061036,-0.122072,0.244144,0.159109,-0.163894,9.845609
33,0.061036,-0.122072,0.244144,0.159109,-0.163894,9.845609
34,0.061036,-0.183108,0.305180,0.142361,-0.153127,9.844413
35,0.061036,-0.183108,0.305180,0.142361,-0.153127,9.844413
36,0.061036,-0.122072,0.366217,0.136379,-0.136379,9.821683
37,0.061036,-0.122072,0.366217,0.136379,-0.136379,9.821683
38,0.061036,-0.122072,0.366217,0.144753,-0.124416,9.839628
