Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
0,0.244144,-0.183108,0.427253,-0.007178,0.017945,9.767849
1,0.244144,-0.183108,0.427253,-0.007178,0.017945,9.767849
2,0.183108,-0.305180,0.427253,0.011963,0.029908,9.755886
3,0.183108,-0.305180,0.427253,0.011963,0.029908,9.755886
4,0.122072,-0.305180,0.427253,0.023926,0.029908,9.747512
5,0.122072,-0.305180,0.427253,0.023926,0.029908,9.747512
6,0.061036,-0.305180,0.427253,0.044263,0.038282,9.800150
7,0.061036,-0.305180,0.427253,0.044263,0.038282,9.800150
8,0.122072,-0.366217,0.427253,0.032300,0.020337,9.766653
9,0.122072,-0.366217,0.427253,0.032300,0.020337,9.766653
10,-0.183108,0.061036,0.183108,0.025122,0.007178,9.749905
11,-0.061036,0.061036,0.183108,0.000000,0.000000,9.737942
12,-0.061036,0.061036,0.183108,0.000000,0.000000,9.737942
13,-0.061036,0.122072,0.183108,0.010767,0.000000,9.773831
14,-0.061036,0.122072,0.183108,0.010767,0.000000,9.773831
15,0.000000,0.061036,0.183108,0.007178,0.009570,9.765457
16,0.000000,0.061036,0.183108,0.007178,0.009570,9.765457
17,-0.061036,0.000000,0.183108,0.025122,0.035889,9.759475
18,-0.061036,0.000000,0.183108,0.025122,0.035889,9.759475
19,-0.061036,-0.061036,0.183108,0.016748,0.037086,9.748708
20,-0.305180,-0.305180,-0.061036,0.035889,0.023926,9.772634
21,-0.305180,-0.244144,-0.122072,0.004785,0.056226,9.767849
22,-0.305180,-0.244144,-0.122072,0.004785,0.056226,9.767849
23,-0.305180,-0.183108,0.000000,0.009570,0.033497,9.740334
24,-0.183108,0.000000,0.061036,0.015552,0.041871,9.753494
25,-0.122072,0.061036,0.183108,0.033497,0.014356,9.754690
26,-0.122072,0.061036,0.183108,0.033497,0.014356,9.754690
27,-0.122072,0.122072,0.122072,0.010767,0.034693,9.759475
28,-0.122072,0.122072,0.122072,0.010767,0.034693,9.759475
29,-0.122072,0.122072,0.122072,-0.004785,0.021534,9.751101
30,-0.122072,0.061036,0.000000,0.002393,0.050245,9.743923
31,-0.122072,0.061036,0.000000,0.002393,0.050245,9.743923
32,-0.183108,0.061036,0.000000,-0.004785,0.061012,9.755886
33,-0.183108,0.061036,0.000000,-0.004785,0.061012,9.755886
34,-0.183108,0.061036,0.000000,0.007178,0.059815,9.758279
35,-0.183108,0.061036,0.000000,0.007178,0.059815,9.758279
36,-0.244144,0.000000,0.000000,0.007178,0.045460,9.789383
37,-0.244144,0.000000,0.000000,0.007178,0.045460,9.789383
38,-0.244144,-0.061036,0.000000,-0.002393,0.051441,9.758279
39,-0.244144,-0.061036,0.000000,-0.002393,0.051441,9.758279
40,-0.427253,-0.244144,-0.061036,0.014356,0.029908,9.784598
41,-0.427253,-0.244144,-0.061036,0.014356,0.029908,9.784598
42,-0.305180,-0.183108,-0.061036,0.029908,0.028711,9.785794
43,-0.305180,-0.183108,-0.061036,0.029908,0.028711,9.785794
44,-0.183108,-0.122072,0.000000,0.021534,0.032300,9.777420
45,-0.183108,-0.122072,0.000000,0.021534,0.032300,9.777420
46,-0.183108,-0.061036,0.000000,0.011963,0.028711,9.752297
47,-0.183108,-0.061036,0.000000,0.011963,0.028711,9.752297
48,-0.183108,0.244144,0.061036,0.016748,0.031104,9.754690
49,-0.183108,0.244144,0.061036,0.016748,0.031104,9.754690
50,-0.427253,-0.244144,0.000000,0.004785,0.050245,9.758279
51,-0.366217,-0.305180,0.000000,-0.009570,0.038282,9.781009
52,-0.366217,-0.305180,0.000000,-0.009570,0.038282,9.781009
53,-0.305180,-0.366217,0.000000,-0.013159,0.023926,9.769046
54,-0.305180,-0.366217,0.000000,-0.013159,0.023926,9.769046
55,-0.366217,-0.427253,0.000000,-0.010767,0.022730,9.770242
56,-0.366217,-0.427253,0.000000,-0.010767,0.022730,9.770242
57,-0.305180,-0.366217,0.061036,-0.022730,0.032300,9.781009
58,-0.305180,-0.366217,0.061036,-0.022730,0.032300,9.781009
59,-0.427253,-0.366217,0.061036,-0.027515,0.034693,9.760671
60,-0.427253,-0.122072,-0.061036,-0.031104,-0.014356,9.747512
61,-0.427253,-0.122072,-0.061036,-0.031104,-0.014356,9.747512
62,-0.427253,-0.122072,-0.061036,0.011963,0.001196,9.754690
63,-0.427253,-0.122072,-0.061036,0.011963,0.001196,9.754690
64,-0.305180,-0.061036,0.061036,0.020337,0.017945,9.771438
65,-0.305180,-0.061036,0.061036,0.020337,0.017945,9.771438
66,-0.244144,0.061036,0.061036,0.005982,0.037086,9.764260
67,-0.244144,0.061036,0.061036,0.005982,0.037086,9.764260
68,-0.244144,0.000000,-0.122072,-0.007178,0.039478,9.800150
69,-0.244144,0.000000,-0.122072,-0.007178,0.039478,9.800150
70,-0.366217,-0.122072,0.000000,-0.003589,0.051441,9.801346
71,-0.366217,-0.122072,0.000000,-0.003589,0.051441,9.801346
72,-0.305180,-0.183108,-0.061036,-0.013159,0.025122,9.791775
73,-0.305180,-0.183108,-0.061036,-0.013159,0.025122,9.791775
74,-0.244144,-0.183108,-0.061036,0.003589,0.037086,9.781009
75,-0.244144,-0.183108,-0.061036,0.003589,0.037086,9.781009
76,-0.244144,-0.122072,-0.061036,-0.017945,0.062208,9.795364
77,-0.244144,-0.122072,-0.061036,-0.017945,0.062208,9.795364
78,-0.366217,-0.122072,-0.061036,-0.003589,0.034693,9.791775
79,-0.366217,-0.122072,-0.061036,-0.003589,0.034693,9.791775
80,-0.427253,-0.061036,-0.061036,0.001196,0.037086,9.777420
81,-0.427253,-0.061036,-0.061036,0.001196,0.037086,9.777420
82,-0.244144,-0.183108,0.000000,-0.015552,0.015552,9.790579
83,-0.244144,-0.183108,0.000000,-0.015552,0.015552,9.790579
84,-0.183108,-0.061036,0.000000,0.023926,0.044263,9.779812
85,-0.183108,-0.061036,0.000000,0.023926,0.044263,9.779812
86,-0.183108,0.000000,0.061036,0.022730,0.050245,9.812113
87,-0.183108,0.000000,0.061036,0.022730,0.050245,9.812113
88,-0.244144,0.000000,0.000000,0.015552,0.056226,9.777420
89,-0.305180,0.061036,0.000000,-0.009570,0.032300,9.769046
90,-0.244144,-0.183108,0.000000,0.011963,0.045460,9.759475
91,-0.183108,-0.183108,0.000000,0.013159,0.029908,9.777420
92,-0.183108,-0.183108,0.000000,0.013159,0.029908,9.777420
93,-0.305180,-0.183108,0.000000,0.019141,0.043067,9.764260
94,-0.305180,-0.183108,0.000000,0.019141,0.043067,9.764260
95,-0.244144,-0.183108,0.061036,0.002393,0.068190,9.747512
96,-0.244144,-0.183108,0.061036,0.002393,0.068190,9.747512
97,-0.305180,-0.244144,0.000000,-0.001196,0.041871,9.760671
98,-0.305180,-0.183108,0.061036,-0.005982,0.038282,9.752297
99,-0.305180,-0.183108,0.061036,-0.005982,0.038282,9.752297
100,-0.244144,-0.061036,-0.061036,-0.011963,0.041871,9.776223
101,-0.366217,-0.122072,-0.061036,-0.002393,0.037086,9.763064
102,-0.366217,-0.122072,-0.061036,-0.002393,0.037086,9.763064
103,-0.366217,0.000000,0.000000,0.005982,0.033497,9.751101
104,-0.366217,0.000000,0.000000,0.005982,0.033497,9.751101
105,-0.427253,0.000000,0.000000,0.001196,0.041871,9.783401
106,-0.427253,0.000000,0.000000,0.001196,0.041871,9.783401
107,-0.488289,0.000000,-0.061036,0.009570,0.040674,9.763064
108,-0.305180,-0.061036,0.000000,0.005982,0.046656,9.773831
