Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
0,-0.54932500,-0.24414400,0.00000000,0.04785200,-0.03469300,1.00025939
1,-0.54932500,-0.24414400,0.00000000,0.04785200,-0.03469300,1.00025939
2,-0.61036100,-0.24414400,0.00000000,0.04306700,-0.04904900,0.99989316
3,-0.61036100,-0.24414400,0.00000000,0.04306700,-0.04904900,0.99989316
4,-0.61036100,-0.24414400,0.00000000,0.03828200,-0.05383400,0.99855041
5,-0.61036100,-0.24414400,0.00000000,0.03828200,-0.05383400,0.99855041
6,-0.42725300,-0.12207200,0.06103600,0.07177800,-0.06699300,0.99977112
7,-0.42725300,-0.12207200,0.06103600,0.07177800,-0.06699300,0.99977112
8,-0.24414400,0.00000000,0.06103600,0.06340400,-0.08493800,0.99830622
9,-0.24414400,0.00000000,0.06103600,0.06340400,-0.08493800,0.99830622
10,-0.24414400,-0.42725300,0.00000000,0.05503000,-0.03588900,0.99964908
11,-0.24414400,-0.42725300,0.00000000,0.05503000,-0.03588900,0.99964908
12,-0.30518000,-0.48828900,-0.06103600,0.04067400,-0.02512200,0.99952694
13,-0.30518000,-0.48828900,-0.06103600,0.04067400,-0.02512200,0.99952694
14,-0.36621700,-0.48828900,-0.06103600,0.03828200,-0.05622600,0.99879449
15,-0.48828900,-0.54932500,0.00000000,0.04546000,-0.06699300,0.99757378
16,-0.48828900,-0.54932500,0.00000000,0.04546000,-0.06699300,0.99757378
17,-0.36621700,-0.54932500,0.00000000,0.04426300,-0.06938600,0.99732969
18,-0.36621700,-0.54932500,0.00000000,0.04426300,-0.06938600,0.99732969
19,-0.36621700,-0.54932500,0.06103600,0.06220800,-0.05622600,0.99940490
20,0.18310800,1.46486600,0.06103600,0.00478500,-0.05144100,0.99879449
21,0.18310800,1.28175800,0.06103600,0.01196300,-0.07776000,1.00123602
22,0.18310800,1.28175800,0.06103600,0.01196300,-0.07776000,1.00123602
23,0.18310800,1.15968600,0.00000000,0.01196300,-0.06340400,0.99928286
24,0.00000000,0.61036100,0.00000000,0.00478500,-0.04785200,0.99842837
25,0.00000000,0.61036100,0.00000000,0.00478500,-0.04785200,0.99842837
26,0.00000000,0.54932500,0.00000000,0.01435600,-0.08015300,0.99964908
27,0.00000000,0.54932500,0.00000000,0.01435600,-0.08015300,0.99964908
28,0.00000000,0.42725300,0.00000000,0.01196300,-0.09091900,0.99855041
29,0.00000000,0.42725300,0.00000000,0.01196300,-0.09091900,0.99855041
30,-0.61036100,-0.36621700,-0.06103600,0.01674800,-0.06101200,0.99732969
31,-0.61036100,-0.36621700,-0.06103600,0.01674800,-0.06101200,0.99732969
32,-0.30518000,-0.30518000,0.00000000,0.00478500,-0.04546000,0.99867245
33,-0.30518000,-0.30518000,0.00000000,0.00478500,-0.04546000,0.99867245
34,-0.30518000,-0.30518000,0.12207200,0.01674800,-0.06220800,0.99794000
35,-0.30518000,-0.30518000,0.12207200,0.01674800,-0.06220800,0.99794000
36,-0.12207200,-0.30518000,0.12207200,0.00119600,-0.08493800,0.99879449
37,-0.12207200,-0.30518000,0.12207200,0.00119600,-0.08493800,0.99879449
38,0.00000000,-0.24414400,0.18310800,0.01555200,-0.05263800,0.99415582
39,0.00000000,-0.24414400,0.18310800,0.01555200,-0.05263800,0.99415582
40,0.54932500,-0.12207200,0.36621700,0.00478500,-0.03230000,0.99757378
41,0.54932500,-0.12207200,0.36621700,0.00478500,-0.03230000,0.99757378
42,0.48828900,-0.06103600,0.30518000,-0.02153400,-0.01076700,0.99549857
43,0.48828900,-0.06103600,0.30518000,-0.02153400,-0.01076700,0.99549857
44,0.54932500,-0.24414400,0.24414400,-0.02033700,0.00119600,1.00306704
45,0.54932500,-0.24414400,0.24414400,-0.02033700,0.00119600,1.00306704
46,0.42725300,-0.36621700,0.24414400,0.00717800,-0.01914100,0.99671929
47,0.42725300,-0.36621700,0.24414400,0.00717800,-0.01914100,0.99671929
48,0.00000000,-0.73243300,0.12207200,-0.00717800,-0.00478500,1.00001531
49,0.00000000,-0.73243300,0.12207200,-0.00717800,-0.00478500,1.00001531
50,-0.06103600,-0.67139700,0.36621700,0.02631900,-0.01435600,0.99867245
51,-0.06103600,-0.67139700,0.36621700,0.02631900,-0.01435600,0.99867245
52,-0.06103600,-0.61036100,0.42725300,0.03349700,-0.01076700,0.99855041
53,-0.06103600,-0.61036100,0.42725300,0.03349700,-0.01076700,0.99855041
54,0.06103600,-0.48828900,0.42725300,0.02512200,-0.04187100,0.99964908
55,0.06103600,-0.48828900,0.42725300,0.02512200,-0.04187100,0.99964908
56,0.06103600,-0.36621700,0.36621700,0.02751500,-0.02751500,0.99781796
57,0.06103600,-0.36621700,0.36621700,0.01794500,-0.00717800,0.99891663
58,0.06103600,-0.36621700,0.36621700,0.01794500,-0.00717800,0.99891663
